facility_name,metric_name,facility_metric_value,time_period,animal_description,other_party,animal_age,animal_type,year,year_part,animal_description_match
Gray Muzzle Society,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
Great Pyrenees Rescue & Sanctuary,"1/1/2023
 Adult Dogs
 In Shelter",10,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
Grey Ghost Weimaraner Rescue,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
Gunnison Valley Animal Welfare League,"1/1/2023
 Adult Dogs
 In Shelter",4,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
Happy Cats Haven,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
Happy Haven Farm & Sanctuary,"1/1/2023
 Adult Dogs
 In Shelter",26,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
Harley's Dream,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
Harley's Hope Foundation,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
Harmony Animal Matchmaker and Sanctuary,"1/1/2023
 Adult Dogs
 In Shelter",35,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
Havok's Wolfpack,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
HemoSolutions,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
High County Basset Hound Rescue,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
Ho-Bo Care Boxer Rescue,"1/1/2023
 Adult Dogs
 In Shelter",17,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
Hoffmanns Little Have,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
Homeward Bound Rescue of Colorado,"1/1/2023
 Adult Dogs
 In Shelter",2,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
Hoof and Paw,"1/1/2023
 Adult Dogs
 In Shelter",1,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
Hope For Animals-Clear Creek Rescue,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
Humane Society of Boulder Valley,"1/1/2023
 Adult Dogs
 In Shelter",43,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
Humane Society of Fremont County,"1/1/2023
 Adult Dogs
 In Shelter",40,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
Humane Society of Moab Valley dba Petco,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
Humane Society of Pagosa Springs,"1/1/2023
 Adult Dogs
 In Shelter",21,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
Humane Society of the Pikes Peak Region,"1/1/2023
 Adult Dogs
 In Shelter",149,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
Humane Society of the Pikes Peak Region - Pueblo,"1/1/2023
 Adult Dogs
 In Shelter",55,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
Humane Society of the South Platte Valley,"1/1/2023
 Adult Dogs
 In Shelter",34,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
Humane Society of Weld County,"1/1/2023
 Adult Dogs
 In Shelter",42,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
Indigo Mountain Nature Center,"1/1/2023
 Adult Dogs
 In Shelter",30,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
Inge Trump,"1/1/2023
 Adult Dogs
 In Shelter",0,1/1/2023, Adult Dogs, In Shelter,Adult,Dogs,2023,beginning,adult dogs
